date,model,daily_tornadobench
20250301,SPC,100.0
20250301,openai_o3_soundings_0,0.0
20250301,openai_o3,0.0
20250301,anthropic_claude-3.7-sonnet,0.0
20250301,openai_gpt-4.1_soundings_0,100.0
20250301,openai_o4-mini-high,0.0
20250301,anthropic_claude-3.7-sonnet_soundings_0,100.0
20250301,openai_gpt-4.1,100.0
20250301,deepseek_deepseek-r1,0.0
20250301,anthropic_claude-3.7-sonnet:thinking,0.0
20250301,google_gemini-2.5-pro-preview-03-25_soundings_0,0.0
20250301,openai_o4-mini-high_soundings_0,0.0
20250301,google_gemini-2.5-flash-preview:thinking_soundings_0,0.0
20250301,anthropic_claude-3.7-sonnet:thinking_soundings_0,100.0
20250302,SPC,0.0
20250302,openai_o4-mini-high,0.0
20250302,anthropic_claude-3.7-sonnet_soundings_0,0.0
20250302,google_gemini-2.5-pro-preview-03-25,0.0
20250302,openai_o3,0.0
20250302,openai_o3_soundings_0,0.0
20250302,anthropic_claude-3.7-sonnet,100.0
20250302,openai_gpt-4.1_soundings_0,0.0
20250302,deepseek_deepseek-r1_soundings_0,0.0
20250302,anthropic_claude-3.7-sonnet:thinking,100.0
20250302,anthropic_claude-3.7-sonnet:thinking_soundings_0,0.0
20250302,google_gemini-2.5-flash-preview:thinking_soundings_0,0.0
20250302,openai_o4-mini-high_soundings_0,100.0
20250302,deepseek_deepseek-r1,0.0
20250302,openai_gpt-4.1,0.0
20250303,SPC,3.39
20250303,google_gemini-2.5-pro-preview-03-25,0.0
20250303,anthropic_claude-3.7-sonnet_soundings_0,0.0
20250303,openai_o4-mini-high,1.99
20250303,anthropic_claude-3.7-sonnet,0.0
20250303,openai_gpt-4.1_soundings_0,3.28
20250303,openai_o3_soundings_0,1.75
20250303,openai_o3,0.0
20250303,openai_o4-mini-high_soundings_0,0.0
20250303,google_gemini-2.5-flash-preview:thinking,1.36
20250303,anthropic_claude-3.7-sonnet:thinking_soundings_0,0.0
20250303,anthropic_claude-3.7-sonnet:thinking,0.0
20250303,google_gemini-2.5-pro-preview-03-25_soundings_0,2.53
20250303,openai_gpt-4.1,0.56
20250304,SPC,9.72
20250304,anthropic_claude-3.7-sonnet:thinking_soundings_0,0.0
20250304,openai_o4-mini-high_soundings_0,7.66
20250304,google_gemini-2.5-pro-preview-03-25_soundings_0,1.91
20250304,anthropic_claude-3.7-sonnet:thinking,5.0
20250304,deepseek_deepseek-r1,5.24
20250304,openai_gpt-4.1,7.11
20250304,anthropic_claude-3.7-sonnet_soundings_0,4.29
20250304,google_gemini-2.5-pro-preview-03-25,0.0
20250304,openai_o4-mini-high,10.01
20250304,openai_gpt-4.1_soundings_0,3.45
20250304,anthropic_claude-3.7-sonnet,3.32
20250304,openai_o3_soundings_0,6.18
20250304,openai_o3,3.8
20250305,SPC,0.0
20250305,anthropic_claude-3.7-sonnet:thinking,0.0
20250305,google_gemini-2.5-pro-preview-03-25_soundings_0,0.0
20250305,openai_o4-mini-high_soundings_0,0.0
20250305,google_gemini-2.5-flash-preview:thinking_soundings_0,0.0
20250305,anthropic_claude-3.7-sonnet:thinking_soundings_0,100.0
20250305,openai_gpt-4.1,0.0
20250305,openai_o4-mini-high,0.0
20250305,google_gemini-2.5-pro-preview-03-25,0.0
20250305,anthropic_claude-3.7-sonnet_soundings_0,0.0
20250305,openai_o3,0.0
20250305,openai_o3_soundings_0,0.0
20250305,openai_gpt-4.1_soundings_0,0.0
20250305,anthropic_claude-3.7-sonnet,0.0
20250306,SPC,100.0
20250306,openai_gpt-4.1,0.0
20250306,google_gemini-2.5-pro-preview-03-25_soundings_0,0.0
20250306,deepseek_deepseek-r1_soundings_0,0.0
20250306,anthropic_claude-3.7-sonnet:thinking,100.0
20250306,anthropic_claude-3.7-sonnet:thinking_soundings_0,0.0
20250306,google_gemini-2.5-flash-preview:thinking_soundings_0,0.0
20250306,google_gemini-2.5-flash-preview:thinking,0.0
20250306,openai_o4-mini-high_soundings_0,100.0
20250306,openai_o3_soundings_0,0.0
20250306,openai_o3,0.0
20250306,openai_gpt-4.1_soundings_0,0.0
20250306,anthropic_claude-3.7-sonnet,0.0
20250306,openai_o4-mini-high,100.0
20250306,anthropic_claude-3.7-sonnet_soundings_0,0.0
20250306,google_gemini-2.5-pro-preview-03-25,0.0
20250307,SPC,100.0
20250307,openai_gpt-4.1,0.0
20250307,openai_o4-mini-high_soundings_0,0.0
20250307,anthropic_claude-3.7-sonnet:thinking_soundings_0,0.0
20250307,google_gemini-2.5-flash-preview:thinking_soundings_0,0.0
20250307,google_gemini-2.5-flash-preview:thinking,0.0
20250307,anthropic_claude-3.7-sonnet:thinking,0.0
20250307,google_gemini-2.5-pro-preview-03-25_soundings_0,0.0
20250307,openai_gpt-4.1_soundings_0,0.0
20250307,anthropic_claude-3.7-sonnet,0.0
20250307,openai_o3,0.0
20250307,openai_o3_soundings_0,0.0
20250307,google_gemini-2.5-pro-preview-03-25,0.0
20250307,anthropic_claude-3.7-sonnet_soundings_0,0.0
20250307,openai_o4-mini-high,0.0
20250308,SPC,0.0
20250308,openai_o3_soundings_0,0.0
20250308,openai_o3,0.0
20250308,anthropic_claude-3.7-sonnet,0.0
20250308,openai_gpt-4.1_soundings_0,0.0
20250308,anthropic_claude-3.7-sonnet_soundings_0,0.0
20250308,google_gemini-2.5-pro-preview-03-25,0.0
20250308,openai_gpt-4.1,0.0
20250308,google_gemini-2.5-pro-preview-03-25_soundings_0,0.0
20250308,deepseek_deepseek-r1_soundings_0,0.0
20250308,anthropic_claude-3.7-sonnet:thinking,100.0
20250308,google_gemini-2.5-flash-preview:thinking,0.0
20250308,anthropic_claude-3.7-sonnet:thinking_soundings_0,0.0
20250308,google_gemini-2.5-flash-preview:thinking_soundings_0,0.0
20250308,openai_o4-mini-high_soundings_0,0.0
20250309,SPC,0.0
20250309,anthropic_claude-3.7-sonnet,0.0
20250309,openai_o3,0.0
20250309,openai_o3_soundings_0,0.0
20250309,anthropic_claude-3.7-sonnet_soundings_0,0.0
20250309,openai_o4-mini-high,0.0
20250309,openai_gpt-4.1,0.0
20250309,deepseek_deepseek-r1,0.0
20250309,openai_o4-mini-high_soundings_0,0.0
20250309,google_gemini-2.5-flash-preview:thinking,0.0
20250309,anthropic_claude-3.7-sonnet:thinking_soundings_0,0.0
20250309,google_gemini-2.5-flash-preview:thinking_soundings_0,0.0
20250309,anthropic_claude-3.7-sonnet:thinking,100.0
20250310,SPC,0.0
20250310,anthropic_claude-3.7-sonnet,0.0
20250310,openai_gpt-4.1_soundings_0,0.0
20250310,openai_o3,0.0
20250310,openai_o3_soundings_0,0.0
20250310,anthropic_claude-3.7-sonnet_soundings_0,0.0
20250310,google_gemini-2.5-pro-preview-03-25,0.0
20250310,openai_o4-mini-high,0.0
20250310,openai_gpt-4.1,0.0
20250310,anthropic_claude-3.7-sonnet:thinking_soundings_0,0.0
20250310,openai_o4-mini-high_soundings_0,0.0
20250310,google_gemini-2.5-pro-preview-03-25_soundings_0,100.0
20250310,anthropic_claude-3.7-sonnet:thinking,0.0
20250311,SPC,100.0
20250311,openai_o3_soundings_0,0.0
20250311,openai_o3,0.0
20250311,anthropic_claude-3.7-sonnet,100.0
20250311,openai_gpt-4.1_soundings_0,100.0
20250311,openai_o4-mini-high,0.0
20250311,google_gemini-2.5-pro-preview-03-25,100.0
20250311,anthropic_claude-3.7-sonnet_soundings_0,0.0
20250311,openai_gpt-4.1,100.0
20250311,anthropic_claude-3.7-sonnet:thinking,100.0
20250311,google_gemini-2.5-pro-preview-03-25_soundings_0,100.0
20250311,openai_o4-mini-high_soundings_0,0.0
20250311,google_gemini-2.5-flash-preview:thinking,100.0
20250311,google_gemini-2.5-flash-preview:thinking_soundings_0,0.0
20250311,anthropic_claude-3.7-sonnet:thinking_soundings_0,0.0
20250312,SPC,0.0
20250312,openai_o4-mini-high,0.0
20250312,anthropic_claude-3.7-sonnet_soundings_0,0.0
20250312,google_gemini-2.5-pro-preview-03-25,0.0
20250312,openai_o3,0.0
20250312,openai_o3_soundings_0,0.0
20250312,anthropic_claude-3.7-sonnet,0.0
20250312,openai_gpt-4.1_soundings_0,0.0
20250312,google_gemini-2.5-pro-preview-03-25_soundings_0,0.0
20250312,anthropic_claude-3.7-sonnet:thinking,100.0
20250312,google_gemini-2.5-flash-preview:thinking,0.0
20250312,anthropic_claude-3.7-sonnet:thinking_soundings_0,0.0
20250312,google_gemini-2.5-flash-preview:thinking_soundings_0,0.0
20250312,openai_o4-mini-high_soundings_0,0.0
20250312,openai_gpt-4.1,0.0
20250313,SPC,0.0
20250313,google_gemini-2.5-pro-preview-03-25,0.0
